,Relation Type,E1,E2,FACT
0,喜欢,萧炎,美杜莎,而想到此处，美杜莎心中竟然没有半点的抗拒，反而隐隐有着一种期待，这对于她这种向来要强的女人来说，可真是一件不可思议的事情。“萧炎…等你下次回来，或许，整个西北地域，都将为你所征服，就犹如如今的加玛帝国一般…”“那一天，我等着。”
1,喜欢,萧炎,小医仙,萧炎止住脚步，望着那道在阳光的倾泻下的女子，不由得一怔，如今的小医仙那一头如雪般的发丝，已是再度恢复原本的色泽，三千青丝如瀑布般的倾洒而下，随意的披散在身后，轻风拂来，掀起青丝摇摆。
2,亲人,天星,韩子奇,天星搀扶着父亲走了，韩子奇佝倭着腰，靠着儿子的支撑力量艰难地往前走，脚下磕磕绊绊，这条走了几十年的路，似乎越来越不平了。
3,喜欢,萧炎,彩鳞,"“这孩子也跟着你们在虫洞待了几天，便先让她好好休息吧。”药老慈爱的拍了拍萧潇的脑袋，略微有些不舍的将之递回彩鳞，然后吩咐人先将彩鳞母女安顿下来。

    “那你们先聊着。”

    彩鳞也是心思通透之人，知道这对师徒有话要说，当下对着萧炎轻声说了一句，然后便是带着萧潇缓缓退去。"
4,同一人,平儿,平姑娘,刘姥姥见平儿遍身绫罗，插金戴银，花容月貌，便当是凤姐儿了，才要称“姑奶奶”，只见周瑞家的说：“他是平姑娘。”
5,亲人,梁亦清,白氏,梁亦清的遗孀白氏哭着迎上去：“蒲老板，咱们隔着教门，就没打扰您……您说说，谁能料到，正好好儿的……”说着说着，嗓子就被泪水噎住了，仰望着蒲缓昌，好似见了救命的恩人，“撇下我们……孤儿寡妇……
6,上下级,新月,楚雁潮,新月突然意识到自己还高高在上，这样和老师说话，太不礼貌了！心里一急，脸就红了，赶紧下来，手足无措地说：“楚老师，您请坐……”看到她那样的窘态，楚雁潮很快把自己的视线移开，坐到她对面的罗秀竹的床上，似乎漫不经心地问：“你刚才在看什么书呢？小说？还是英语课外读物？”
7,亲人,我,家珍,我正高兴着，有人扯了扯我的衣服，低头一看是自己的女人。看到家珍跪着我就火了，心想我儿子还没出来就跪着了，这太不吉利。
8,亲人,秦邦业,秦钟,秦钟一一的答应，回家禀知他父亲。他父亲秦邦业，现任营缮司郎中，年近七旬，夫人早亡。因年至五旬时尚无儿女，便向养生堂抱了一个儿子和一个女儿。谁知儿子又死了，只剩下个女儿，小名叫做可儿，又起个官名，叫做兼美，长大时，生得形容袅娜，性格风流。因素与贾家有些瓜葛，故结了亲。秦邦业却于五十三岁上得了秦钟，今年十二岁了。
9,喜欢,萧炎,云韵,"当年第一次见到萧炎时，这个稚嫩但却有些几分倔强的少年，便是敢于在危险重重的魔兽山脉中历练，而伴随着这些年的风雨，所经历的危险，也是比当年的魔兽山脉高出了无数倍

    “我会尽快炼化花婆婆的斗气，花宗我也会花心思慢慢的控制，云韵整个身体都是缩在单薄的被子之中，轻轻的声音，却是传了出来。"
10,同一人,史强,大史,罗辑像要给史强跪下似的，“大史，我五体投地！你，福尔摩斯再世啊！”
11,喜欢,萧炎,小医仙,"似是听到了响起在不远处的脚步声，小医仙微蹙着柳眉，将视线从卷轴上移开，望着那在月光的照耀下缓缓走过来的少年，不由得微微一笑：“修炼完成了么？屋内还有热着的食物。”

    听得这般温软细语，萧炎心头微微触动了一下，这番话，这番场景，就犹如是那久待着丈夫归来的小妻子一般，轻柔的话语中，蕴含着等待与关切。"
12,亲人,韩子奇,新月,“新月！”韩子奇痛苦地叫着女儿，“别……别问……”滚滚的热泪涌出了那深陷的眼眶，洒在女儿的脸上、手上。他战栗着抬起头，惊恐地看着女儿，女儿那晶莹的眼睛正期望着他！啊，新月，不是爸爸狠心地欺骗你，是因为还没有等到你长大成人、开始独立的人生！也许……那一天已经没有了？！深深的恐惧攫住了他的心，他那瘦骨嶙峋的手在颤抖，在痉挛，他伸出手臂，搂着女儿的脖子，抚摩着她那柔软的头发，紧紧地抱在怀里，生怕她会突然离去！
13,喜欢,萧炎,美杜莎,“若是两年之内我不能回来，我也会让人将那“天魂融血丹”送达你手中。”望着那张精致妖艳的容颜，萧炎心中略有些感动，美杜莎的确帮了他太多。
14,喜欢,萧炎,薰儿,训练场中的人群，盯着那被薰儿亲昵挽住的萧炎，都不由得心头有些嫉妒，作为家族中最耀眼的明珠，他们何曾见过薰儿如此对待一名男子？
15,喜欢,萧炎,美杜莎,"萧炎话音落下，那光茧的光芒突然微微明亮，仿佛那其中的小家伙在不依反驳一般。

    见状，萧炎不由得哈哈一笑，一旁的美杜莎也是无奈摇头，这个家伙，这个时候还有心情开玩笑。"
16,喜欢,萧炎,薰儿,望着那嘟着小嘴，显出一昏极难出现的小女人委屈模样的薰儿，萧炎那环着纤腰的手臂不由自主的紧了紧，一只手掌却是挑起那光滑的下巴，目光在薰儿睁大的水灵眼睛中，泛着一丝垂诞的望着那娇艳欲滴的红润小嘴，脑袋，也是缓缓的低下。
17,对立,美国代表,雷迪亚兹,美国代表发言说：“经过大量的调查，我们认为破壁人所公布的雷迪亚兹的战略意图是真实可信的。现在我们所面对的是这样一个人，与他所犯的罪行相比，人类历史上的一切罪行都显得微不足道了。在现有的所有法律中，甚至找不到适用于他的罪行条款。所以我们建议在国际法中增加地球生命灭绝罪这一罪行条款，以对雷迪亚兹进行审判。”
18,亲人,有庆,凤霞,埋掉了有庆，天蒙蒙亮了，我慢慢往家里走，走几步就要回头看看，走到家门口一想到再也看不到儿子，忍不住哭出了声音，又怕家珍听到，就捂住嘴巴蹲下来，蹲了很久，都听到出工的吆喝声了，才站起来走进屋去。凤霞站在门旁睁圆了眼睛看我，她还不知道弟弟死了。
19,喜欢,萧炎,美杜莎,"竹房之中，气氛犹如是在这一霎凝固了起来一般，萧炎与美杜莎两人，皆是目瞪口呆的望着那语出惊人的大长老，不管他们平日有多冷静，此刻，无疑是直接被震得进入了呆滞状态。

    怀孕？"
20,亲人,萧炎,萧媚,"“萧炎表哥，明天斗技堂，由我父亲教导黄阶高级斗技，你一起去吗？”萧媚微笑道，脸颊上妩媚与清纯的矛盾集合，实在让人心动。

    闻言，萧炎眉尖悄悄的挑了挑。

    就当萧炎正在想借口回绝之时，一双修长白皙的娇嫩皓腕却是从一旁探出，然后挽住他的手臂。"
21,同级同伴,罗辑,大史,"“车里没有人。”大史对一瘸一拐走过来的罗辑说。
 
 “大史啊，你又救了我一命。”罗辑扶着史强的肩膀，揉着摔痛的腿说。
 
 “我以后还不知道要救你几命呢，可你自个儿也得多长个心眼多长只眼睛。”"
22,喜欢,萧炎,薰儿,嗅着面前女孩那诱人的体香，萧炎舒展着双臂，揽住那娇柔的纤腰，将脸埋进薰儿的青丝中，喃喃道：“努力了这么多年，最终还是要失败么……”
23,同一人,史强,大史,史强在门口回过头来：“我现在已经不是警察了，这事儿没有警察参与，他们都叫我大史、
24,同级同伴,雷德尔,斐兹罗,"""“见鬼！就差几秒钟，我就能确定中止发射了！”
 
 在千里之外的科罗拉多州斯普林斯，夏延山地下三百米，北美防空司令部指挥中心，NMD系统控制室，目标甄别员雷德尔把鼠标一扔说。
 
 “系统警报出现时我就猜到不是那么回事。”轨道监测员琼斯摇摇头说。
 
 “那系统攻击的是什么？”斐兹罗将军问，NMD只是他新的职责所涉及的一部分，他并不熟悉，"""
25,对立,萧炎,白程,"受人之托，受谁之托？萧炎眼神微凝，冷笑道

    无可奉告，白程同样还以冷笑，微微扭动脖子，他眼神不怀好意的望着萧炎一干人"
26,亲人,韩太太,梁亦清,韩太太虔诚地跪在喜棚下，心中悲喜交集。她想起先父梁亦清，一辈子清苦，为玉而生，为玉而死；想起先母白氏，心地善良而又懦弱无能，在贫病中早早地结束了生命。
27,亲人,韩子奇,天星,韩子奇亲着儿子热乎乎的胖脸，眼泪止不住地流下来：“天星。等着我，爸爸很快就会回来的……”
28,对立,萧炎,白山,只是在这之前，我要在全学院学员面前，让你萧炎成为我手下败将！”似也是清楚萧炎的意图，白山冷冷一笑，锋利长枪遥指向萧炎，淡漠的道。
29,上下级,凤姐,平儿,知凤姐尚未出来，先找著凤姐的一个心腹通房大丫头名唤平儿的。
30,上下级,薛蟠,英莲,薛蟠见英莲生得不俗，立意买了作妾，又遇冯家来夺，因恃强喝令豪奴将冯渊打死
31,对立,叶文洁,雷志成,"审问者：调查发现，在红岸基地工作期间，你有杀人嫌疑。
 
  叶文洁：我杀死过两个人。
 
  审问者：时间？
 
  叶文洁：1979年10月21日下午。
 
  审问者：受害者的姓名？
 
  叶文洁：基地政委雷志成和基地工程师、我的丈夫杨卫宁。"
